Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,Customer_Age_Months,Average_distance,Total_Bookings,Booking_Trend,Accumulation_Trend,Redemption_Trend,Seasonality_Index,Recency_Months,Behavioral_Churn,Hard_Churn,F_score,M_score,R_score,Segment,Customer_Segment
704150,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601.0,Married,Star,3921.02,Standard,2014,10,0.0,0.0,50,1888.0416666666667,36,-0.08695652173913047,-0.44,-0.98,2.67,0.0,1,0,3,1,2,2,Active Regular Customers
869743,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,73236.0,Single,Star,3924.42,Standard,2016,11,2017.0,7.0,25,689.5,15,-0.45454545454545453,-1.0,0.0,12.25,17.0,1,1,1,1,1,3,Dormant Customers
596179,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,50879.0,Single,Star,3933.81,Standard,2014,3,0.0,0.0,57,3327.7916666666665,44,-0.5423728813559322,-0.84,0.0,23.33,1.0,1,0,4,1,2,2,Active Regular Customers
370450,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,62160.0,Married,Star,3934.1,Standard,2012,11,0.0,0.0,73,2338.7916666666665,44,0.6363636363636364,1.3,-0.99,8.0,0.0,0,0,4,1,2,2,Active Regular Customers
501030,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,93541.0,Married,Star,3934.71,Standard,2017,3,0.0,0.0,21,1373.5416666666667,26,-0.25000000000000006,-0.09,0.0,3.0,1.0,1,0,2,1,2,2,Active Regular Customers
878633,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,163974.0,Married,Star,3936.79,Standard,2013,12,0.0,0.0,60,2385.4166666666665,44,-0.29090909090909084,-0.4,0.0,22.0,0.0,1,0,4,1,2,2,Active Regular Customers
285938,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2014,9,0.0,0.0,51,2652.8333333333335,40,-0.08163265306122452,0.11,101.17,6.0,4.0,0,0,3,1,1,2,Active Regular Customers
588237,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2013,11,0.0,0.0,61,1321.9166666666667,33,0.07142857142857147,-0.11,2.52,32.92,2.0,0,0,2,1,1,2,Active Regular Customers
645280,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2012,12,0.0,0.0,72,2621.7916666666665,43,-0.3454545454545454,-0.22,-0.98,36.25,2.0,1,0,4,1,1,2,Active Regular Customers
864324,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2018,6,0.0,0.0,6,2432.8333333333335,43,-0.20754716981132076,-0.13,-0.99,30.92,1.0,1,0,4,1,2,2,Active Regular Customers
124678,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2013,6,0.0,0.0,66,3101.6666666666665,51,0.09090909090909102,-0.45,-0.94,84.25,1.0,1,0,4,1,2,2,Active Regular Customers
186015,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,9,0.0,0.0,39,2517.2083333333335,41,0.23913043478260865,0.28,5.01,18.92,1.0,0,0,3,1,2,2,Active Regular Customers
461108,Canada,Quebec,Montreal,H2T 9K8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2018,10,0.0,0.0,2,50.375,1,0.16666666666666666,201.5,0.0,0.25,1.0,0,0,1,1,2,0,Occasional Flyers
589580,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,8,0.0,0.0,40,3255.0416666666665,52,0.07142857142857145,-0.46,-0.98,34.0,1.0,1,0,4,1,2,2,Active Regular Customers
623688,Canada,Ontario,London,M5B 3E4,Female,Doctor,152955.0,Married,Star,3954.34,Standard,2016,5,0.0,0.0,31,3606.9166666666665,54,0.03448275862068967,-0.45,-0.21,9.67,1.0,1,0,4,1,2,2,Active Regular Customers
386082,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,30486.0,Divorced,Aurora,5391.97,2018 Promotion,2018,3,2018.0,11.0,9,3352.909090909091,40,6.666666666666667,9220.5,0.0,304.0,1.0,0,1,3,2,2,1,Champions / Premium Travelers
256147,Canada,Ontario,Toronto,M1R 4K3,Female,College,0.0,Married,Star,3958.0,Standard,2012,9,0.0,0.0,75,2984.4166666666665,46,-0.037735849056603786,-0.26,-0.95,68.33,2.0,1,0,4,1,1,2,Active Regular Customers
329382,Canada,Quebec,Montreal,H2T 9K8,Male,College,0.0,Single,Star,3961.59,Standard,2012,8,0.0,0.0,76,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,,0,Occasional Flyers
140392,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814.0,Married,Star,3963.39,Standard,2013,7,0.0,0.0,65,1915.5833333333333,32,0.3076923076923076,1.3,2.2,18.0,2.0,0,0,2,1,1,2,Active Regular Customers
112522,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,49846.0,Married,Aurora,5636.74,2018 Promotion,2018,2,0.0,0.0,10,6280.545454545455,50,3.161290322580645,6.36,0.0,76.33,0.0,0,0,4,2,2,1,Champions / Premium Travelers
230908,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,217538.0,Divorced,Star,3964.15,Standard,2012,5,0.0,0.0,79,2750.9166666666665,49,0.055555555555555504,-0.03,-0.98,11.58,2.0,1,0,4,1,1,2,Active Regular Customers
972581,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,48744.0,Married,Star,3964.53,Standard,2016,2,0.0,0.0,34,1282.375,28,0.10526315789473678,0.03,1.34,14.67,0.0,0,0,2,1,2,2,Active Regular Customers
357549,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,76410.0,Single,Star,3964.73,Standard,2018,9,0.0,0.0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,,0,Occasional Flyers
330694,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,105053.0,Married,Aurora,6172.91,2018 Promotion,2018,2,0.0,0.0,10,6153.636363636364,38,0.4285714285714287,0.26,83.33,110.33,1.0,0,0,3,3,2,2,Active Regular Customers
910875,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914.0,Married,Star,3966.13,Standard,2012,11,0.0,0.0,73,2149.2916666666665,32,0.42105263157894735,0.55,-0.96,23.33,0.0,0,0,2,1,2,2,Active Regular Customers
501704,Canada,Quebec,Hull,J8Y 3Z5,Male,College,0.0,Divorced,Star,3974.86,Standard,2013,5,0.0,0.0,67,1714.5833333333333,39,-0.1428571428571429,0.01,0.28,14.25,1.0,1,0,3,1,2,2,Active Regular Customers
529098,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,0.0,Divorced,Star,3974.86,Standard,2017,10,0.0,0.0,14,1535.5416666666667,24,0.8000000000000002,2.33,6.55,8.67,1.0,0,0,2,1,2,2,Active Regular Customers
265297,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,60519.0,Married,Star,3978.67,Standard,2018,7,0.0,0.0,5,693.3333333333334,11,1.8333333333333333,2773.33,0.0,3.58,0.0,0,0,1,1,2,0,Occasional Flyers
567875,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,102457.0,Married,Star,3979.72,Standard,2017,5,0.0,0.0,19,1008.2916666666666,15,0.68,2.5,0.0,2.25,0.0,0,0,1,1,2,0,Occasional Flyers
688524,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,103862.0,Married,Star,3980.42,Standard,2013,3,0.0,0.0,69,1678.6666666666667,24,-0.10810810810810811,-0.08,-0.61,36.67,0.0,1,0,2,1,2,2,Active Regular Customers
269070,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153.0,Married,Star,3985.32,Standard,2013,1,0.0,0.0,71,2353.5,42,-0.3999999999999999,-0.51,-0.99,3.0,0.0,1,0,3,2,2,2,Active Regular Customers
387705,Canada,Quebec,Hull,J8Y 3Z5,Female,Master,93153.0,Married,Star,3985.32,Standard,2013,4,0.0,0.0,68,2864.2916666666665,45,-0.01923076923076924,0.03,-0.99,17.58,1.0,1,0,4,2,2,2,Active Regular Customers
923293,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,86793.0,Divorced,Star,3985.55,Standard,2016,6,0.0,0.0,30,2184.125,41,-0.4545454545454546,-0.59,-0.98,25.58,0.0,1,0,3,2,2,2,Active Regular Customers
283314,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,72127.0,Married,Star,3991.73,Standard,2013,4,2015.0,2.0,68,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,,0,Occasional Flyers
322102,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,0.0,Married,Star,3992.58,Standard,2013,8,2014.0,4.0,64,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,,0,Occasional Flyers
789157,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,0.0,Single,Star,3995.36,Standard,2018,9,0.0,0.0,3,278.75,3,0.5,1115.0,0.0,2.25,1.0,0,0,1,2,2,0,Occasional Flyers
654748,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,65721.0,Married,Star,3996.77,Standard,2017,4,2017.0,12.0,20,684.7083333333334,12,-0.4,-1.0,0.0,10.0,12.0,1,1,1,2,1,3,Dormant Customers
984713,Canada,Ontario,Sudbury,M5V 1G5,Female,College,0.0,Single,Star,3997.48,Standard,2018,8,0.0,0.0,4,411.2916666666667,5,0.8333333333333334,1645.17,92.67,6.25,1.0,0,0,1,2,2,0,Occasional Flyers
114835,Canada,Ontario,Toronto,M1R 4K3,Female,Master,101354.0,Divorced,Star,4001.52,Standard,2017,7,0.0,0.0,17,1750.3333333333333,30,0.37837837837837834,0.58,0.0,11.67,0.0,0,0,2,2,2,2,Active Regular Customers
328936,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,53118.0,Married,Star,4005.72,Standard,2015,3,0.0,0.0,45,2695.625,45,-0.23636363636363633,-0.02,-0.98,44.92,4.0,1,0,4,2,1,2,Active Regular Customers
845864,Canada,British Columbia,Vancouver,V5R 1W3,Female,Doctor,115440.0,Married,Star,4013.85,Standard,2013,4,0.0,0.0,68,2283.0416666666665,41,-0.5789473684210527,-0.86,-0.99,64.92,0.0,1,0,3,2,2,2,Active Regular Customers
645265,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,73313.0,Married,Star,4013.95,Standard,2013,3,0.0,0.0,69,1895.125,32,0.42105263157894735,0.3,-0.95,11.33,0.0,0,0,2,2,2,2,Active Regular Customers
223587,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,100167.0,Married,Star,4013.96,Standard,2017,8,0.0,0.0,16,1903.375,28,0.45714285714285713,0.61,-0.97,7.33,0.0,0,0,2,2,2,2,Active Regular Customers
158560,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2015,12,0.0,0.0,36,1973.0416666666667,33,0.17073170731707327,0.41,-0.99,14.92,0.0,0,0,2,2,2,2,Active Regular Customers
417584,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2014,5,0.0,0.0,55,2167.25,36,-0.08695652173913047,0.04,-0.97,8.67,2.0,1,0,3,2,1,2,Active Regular Customers
566033,Canada,Ontario,Toronto,M2P 4F6,Male,College,0.0,Married,Star,4015.21,Standard,2015,6,2016.0,7.0,42,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,,0,Occasional Flyers
472521,Canada,Alberta,Edmonton,T9G 1W3,Male,College,0.0,Married,Aurora,6265.34,2018 Promotion,2018,3,0.0,0.0,9,3499.2727272727275,47,0.09615384615384612,0.1,64.83,46.92,0.0,0,0,4,3,2,2,Active Regular Customers
425854,Canada,Ontario,Toronto,P1J 8T7,Female,High School or Below,39079.0,Married,Star,4016.13,Standard,2016,11,0.0,0.0,25,2172.7083333333335,37,-0.6727272727272727,-1.0,-0.97,14.92,6.0,1,0,3,2,1,2,Active Regular Customers
174896,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,0.0,Single,Star,4016.54,Standard,2015,4,2015.0,12.0,44,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,,0,Occasional Flyers
695855,Canada,Quebec,Montreal,H2T 2J6,Female,College,0.0,Divorced,Star,4019.38,Standard,2013,4,0.0,0.0,68,1835.25,34,-0.2173913043478261,-0.27,-0.96,16.33,0.0,1,0,2,2,2,2,Active Regular Customers
699511,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,0.0,Divorced,Star,4019.38,Standard,2014,7,0.0,0.0,53,1822.25,28,-0.19512195121951215,-0.45,0.0,4.67,3.0,1,0,2,2,1,2,Active Regular Customers
377322,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,62518.0,Married,Star,4023.81,Standard,2016,5,0.0,0.0,31,4154.5,54,0.03448275862068967,0.08,0.93,67.67,1.0,0,0,4,2,2,2,Active Regular Customers
511053,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,62518.0,Married,Star,4023.81,Standard,2015,3,0.0,0.0,45,1699.7916666666667,26,0.16666666666666663,0.44,-0.98,11.0,0.0,0,0,2,2,2,2,Active Regular Customers
890753,Canada,Quebec,Montreal,H2Y 2W2,Male,College,0.0,Married,Star,4025.1,Standard,2017,9,0.0,0.0,15,1627.2083333333333,23,0.40625,1.06,-0.98,2.92,1.0,0,0,2,2,2,2,Active Regular Customers
796670,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,47536.0,Married,Star,4035.68,Standard,2014,2,0.0,0.0,58,2935.0833333333335,45,-0.23636363636363633,-0.34,-0.98,5.58,0.0,1,0,4,2,2,2,Active Regular Customers
556136,Canada,Quebec,Montreal,H4G 3T4,Female,College,0.0,Married,Star,4035.77,Standard,2017,1,0.0,0.0,23,2077.375,39,0.10869565217391301,0.9,-0.97,38.92,0.0,0,0,3,2,2,2,Active Regular Customers
513081,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,98320.0,Married,Star,4037.5,Standard,2015,11,0.0,0.0,37,1487.1666666666667,24,-0.10810810810810811,-0.39,2.43,7.33,0.0,0,0,2,2,2,2,Active Regular Customers
930718,Canada,Quebec,Montreal,H2T 2J6,Female,High School or Below,63577.0,Married,Star,4037.55,Standard,2015,7,0.0,0.0,41,2760.375,53,0.12499999999999999,-0.1,-0.98,64.25,2.0,1,0,4,2,1,2,Active Regular Customers
